date,clicks,impressions,ctr,position
2026-03-23,0,111,0.000000,8.25
2026-03-24,1,155,0.006452,8.72
2026-03-25,0,148,0.000000,7.07
2026-03-26,1,114,0.008772,7.81
2026-03-27,0,117,0.000000,7.97
2026-03-28,0,137,0.000000,6.38
2026-03-29,1,82,0.012195,6.40
2026-03-30,0,124,0.000000,5.71
2026-03-31,1,95,0.010526,6.89
2026-04-01,0,150,0.000000,7.36
2026-04-02,0,78,0.000000,6.26
2026-04-03,0,55,0.000000,7.82
2026-04-04,0,62,0.000000,5.34
2026-04-05,1,66,0.015152,6.67
2026-04-06,1,92,0.010870,9.02
2026-04-07,3,68,0.044118,8.44
2026-04-08,0,55,0.000000,9.38
2026-04-09,0,37,0.000000,9.19
2026-04-10,0,46,0.000000,7.70
2026-04-11,0,29,0.000000,9.97
2026-04-12,0,75,0.000000,12.40
2026-04-13,0,54,0.000000,10.63
2026-04-14,0,69,0.000000,14.29
2026-04-15,0,87,0.000000,24.97
2026-04-16,0,50,0.000000,8.82
2026-04-17,0,29,0.000000,18.45
2026-04-18,0,23,0.000000,9.65
2026-04-19,0,25,0.000000,7.84
